anna_karenina_en.txt
--------------------
350276 words, 1531808 characters, 13593 unique words, 53 unique characters
Overall: 4.4 avg word length, 4 median word length ('only'), 8 p90 word length ('external')
Unique words: 7.6 avg word length, 7 median word length ('shouted'), 11 p90 word length ('speculators')

Words by length                    Words by frequency                 Words sorted alphabetically        Character frequencies
---------------                    ------------------                 ---------------------------        ---------------------
religiously-patriotic 1            the 17556                          1                                  e 184953
self-dissatisfaction 2             and 12898                          10                                 t 140242
ivanov-strauss-renan 1             to 10146                           11                                 a 123838
good-humored-looking 1             of 8612                            12                                 o 113838
disreputable-looking 1             he 7535                            13                                 n 110269
conscience-stricken 1              a 6156                             14                                 i 109119
transparent-looking 1              in 5949                            15                                 h 106207
ristitch-kudzhitsky 1              was 5308                           16                                 s 97870
straightforwardness 2              his 5240                           17                                 r 79363
pretentious-looking 1              that 5204                          17,015                             d 68465
comfortable-looking 1              her 5089                           17th                               l 60614
pseudo-matrimonial 1               she 4287                           18                                 u 39623
conciliation-board 1               it 3925                            18,038                             w 37024
commander-in-chief 1               had 3857                           1863                               m 34169
self-advertisement 1               with 3751                          1864                               c 33883
adjutant-generals 1                i 3666                             19                                 g 33241
sleeping-carriage 1                not 3434                           2                                  y 32040
shtcherbatskaya’s 2                him 3162                           20                                 f 31098
contradistinction 1                but 3162                           21                                 p 23484
light-heartedness 1                you 3013                           22                                 b 21228
self-satisfaction 1                at 2920                            23                                 v 19952
non-applicability 1                said 2730                          24                                 k 15401
misunderstandings 1                for 2712                           25                                 ’ 6443
different-colored 1                as 2443                            26                                 x 3396
misinterpretation 1                on 2201                            27                                 - 1569
swimming-mistress 1                all 1946                           28                                 j 1420
grotesque-looking 1                be 1778                            29                                 q 1410
misshapen-looking 1                what 1693                          2nd                                z 1042
fellow-passengers 1                so 1541                            3                                  1 120
conscientiousness 1                levin 1517                         30                                 2 99
dimer-bartnyansky 1                is 1426                            30th                               3 55
indestructibility 1                this 1364                          31                                 é 42
non-materialistic 1                from 1307                          32                                 8 28
fellow-christians 1                up 1306                            33                                 à 27
carriage-jobbers 1                 have 1272                          34                                 4 26
fellow-officials 1                 were 1235                          35                                 5 26
broad-shouldered 3                 one 1162                           36                                 6 26
alexandrovitch’s 47                no 1144                            4                                  7 25
misunderstanding 5                 me 1132                            5                                  0 24
incomprehensible 17                they 1115                          6                                  è 23
adjutant-general 2                 by 1084                            7                                  9 22
bread-and-butter 2                 which 1077                         8                                  ï 14
carriage-springs 1                 been 1062                          9                                  œ 7
vigorous-looking 1                 would 1048                         a                                  . 7
schulze-delitsch 1                 out 1024                           a-oo                               ê 7
wrathful-looking 1                 there 1019                         abandon                            æ 6
governor-general 1                 could 971                          abandoned                          ü 5
misappropriation 1                 when 950                           abandonment                        ç 5
feverish-looking 1                 did 938                            abasement                          ô 5
brother-in-law’s 2                 now 873                            abashed                            â 4
portrait-painter 1                 them 841                           abasing                            , 2
incomprehensibly 2                 do 821                             aber                               î 1
disproportionate 1                 into 799                           aberrations                        ä 1
gold-embroidered 1                 how 799                            abilities                          
mushroom-picking 1                 my 794                             ability                            
enthusiastically 3                 an 790                             abject                             
indiscriminately 1                 who 786                            able                               
stagnant-tasting 1                 about 782                          ablutions                          
kiss-in-the-ring 1                 vronsky 776                        abnormally                         
round-shouldered 2                 more 743                           abode                              
dreadful-looking 1                 anna 740                           abolished                          
disconnectedness 1                 their 703                          abolition                          
youthful-looking 1                 go 684                             about                              
leather-covered 1                  know 674                           above                              
quickwittedness 1                  come 671                           abreast                            
mother-of-pearl 3                  went 661                           abroad                             
shtcherbatskaya 13                 only 652                           abrupt                             
disadvantageous 1                  very 651                           abruptly                           
self-government 3                  if 641                             abruptness                         
self-possession 10                 well 631                           absence                            
horror-stricken 1                  alexey 629                         absences                           
dissatisfaction 17                 are 622                            absent                             
looking-glasses 2                  it’s 616                           absently                           
straightforward 5                  see 616                            absolute                           
loving-kindness 2                  himself 615                        absolutely                         
fully-developed 1                  kitty 599                          absolution                         
sister-in-law’s 3                  over 586                           absorb                             
loosely-fitting 1                  thought 568                        absorbed                           
self-confidence 4                  time 565                           absorbing                          
self-controlled 1                  felt 555                           abstaining                         
thoughtlessness 1                  don’t 551                          abstract                           
misapprehending 1                  eyes 550                           abstractly                         
transformations 1                  stepan 548                         absurd                             
extraordinarily 12                 yes 545                            absurdities                        
mile-and-a-half 2                  face 542                           absurdity                          
drunken-looking 1                  or 541                             absurdly                           
condescendingly 1                  nothing 533                        abundance                          
misapprehension 2                  man 528                            abundant                           
crystallization 1                  though 526                         abuse                              
sympathetically 4                  alexandrovitch 524                 abused                             
healthy-looking 4                  your 523                           abusing                            
open-handedness 1                  like 520                           abyss                              
cross-examining 1                  then 516                           acacia                             
crescent-shaped 1                  say 515                            acacias                            
unconsciousness 5                  arkadyevitch 511                   academy                            
representations 2                  too 507                            accent                             
compressibility 1                  before 505                         accentuating                       
superintendence 2                  after 500                          accept                             
individualistic 1                  just 484                           acceptation                        
high-principled 1                  down 465                           accepted                           
representatives 3                  little 460                         accepting                          
gallant-looking 1                  life 458                           accepts                            
conscientiously 4                  will 456                           accessibility                      
good-for-nought 1                  we 452                             accident                           
instantaneously 1                  same 447                           accidental                         
superintendents 1                  why 445                            accidentally                       
unpunctualities 1                  again 444                          accompanied                        
strong-smelling 2                  love 434                           accompaniment                      
anti-nihilistic 1                  something 432                      accompany                          
congratulations 2                  still 428                          accompanying                       
shtcherbatsky’s 1                  i’m 427                            accomplice                         
reproachfulness 3                  away 427                           accomplish                         
golenishtchev’s 10                 without 422                        accomplished                       
notwithstanding 2                  came 422                           accord                             
disappointments 1                  saw 421                            accordance                         
self-complacent 1                  must 415                           according                          
interpretations 1                  some 414                           accordingly                        
half-unbuttoned 1                  never 410                          accosted                           
threshing-floor 1                  going 408                          account                            
slender-stalked 1                  has 408                            accounts                           
brothers-in-law 1                  made 404                           accumulated                        
characteristics 5                  old 393                            accumulating                       
unprepossessing 1                  knew 390                           accurate                           
misinterpreting 1                  hand 386                           accurately                         
misappropriated 1                  such 386                           accused                            
light-heartedly 1                  can 381                            accusing                           
